S: math/test-float64x-nextup
PASS: math/test-float64x-pow
PASS: math/test-float64x-remainder
PASS: math/test-float64x-remquo
PASS: math/test-float64x-rint
PASS: math/test-float64x-round
--
FAIL: math/test-ldouble-fpclassify
PASS: math/test-ldouble-frexp
PASS: math/test-ldouble-fromfp
PASS: math/test-ldouble-fromfpx
PASS: math/test-ldouble-getpayload
PASS: math/test-ldouble-hypot
PASS: math/test-ldouble-ilogb
PASS: math/test-ldouble-iscanonical
PASS: math/test-ldouble-iseqsig
PASS: math/test-ldouble-isfinite
PASS: math/test-ldouble-isgreater
--
FAIL: math/test-ldouble-isinf
PASS: math/test-ldouble-isless
PASS: math/test-ldouble-islessequal
PASS: math/test-ldouble-islessgreater
FAIL: math/test-ldouble-isnan
PASS: math/test-ldouble-isnormal
PASS: math/test-ldouble-issignaling
PASS: math/test-ldouble-issubnormal
PASS: math/test-ldouble-isunordered
PASS: math/test-ldouble-iszero
PASS: math/test-ldouble-j0
PASS: math/test-ldouble-j1
PASS: math/test-ldouble-jn
PASS: math/test-ldouble-lgamma
PASS: math/test-ldouble-llogb
--
FAIL: math/test-ldouble-modf
PASS: math/test-ldouble-nearbyint
PASS: math/test-ldouble-nextafter
PASS: math/test-ldouble-nextdown
PASS: math/test-ldouble-nexttoward
PASS: math/test-ldouble-nextup
PASS: math/test-ldouble-pow
PASS: math/test-ldouble-remainder
PASS: math/test-ldouble-remquo
PASS: math/test-ldouble-rint
PASS: math/test-ldouble-round
--
FAIL: misc/tst-epoll
PASS: misc/tst-epoll-ioctls
PASS: misc/tst-error1
PASS: misc/tst-error1-mem
PASS: misc/tst-fanotify
FAIL: misc/tst-fd_to_filename
PASS: misc/tst-fdopendir-o_path
PASS: misc/tst-fdset
PASS: misc/tst-getauxval
PASS: misc/tst-gethostid
PASS: misc/tst-getpid1-internal
PASS: misc/tst-gettid
PASS: misc/tst-gettid-kill
PASS: misc/tst-glibcsyscalls
PASS: misc/tst-hsearch
PASS: misc/tst-insremque
--
FAIL: misc/tst-memfd_create
PASS: misc/tst-misalign-clone
PASS: misc/tst-mlock2
PASS: misc/tst-mman-consts
PASS: misc/tst-mntent
PASS: misc/tst-mntent-autofs
PASS: misc/tst-mntent-blank-corrupt
PASS: misc/tst-mntent-blank-passno
PASS: misc/tst-mntent-escape
PASS: misc/tst-mntent2
PASS: misc/tst-mount
--
FAIL: misc/tst-pidfd
PASS: misc/tst-pidfd-consts
UNSUPPORTED: misc/tst-pidfd_getpid
UNSUPPORTED: misc/tst-pkey
PASS: misc/tst-ppoll
PASS: misc/tst-prctl
PASS: misc/tst-preadvwritev
PASS: misc/tst-preadvwritev2
PASS: misc/tst-preadvwritev64
PASS: misc/tst-preadvwritev64v2
PASS: misc/tst-process_mrelease
--
FAIL: misc/tst-syscall-restart
PASS: misc/tst-syscalls
PASS: misc/tst-sysconf-iov_max
UNSUPPORTED: misc/tst-syslog
UNSUPPORTED: misc/tst-syslog-long-progname
UNSUPPORTED: misc/tst-sysvmsg-linux
UNSUPPORTED: misc/tst-sysvsem-linux
UNSUPPORTED: misc/tst-sysvshm-linux
PASS: misc/tst-tgkill
PASS: misc/tst-timerfd
PASS: misc/tst-tsearch
--
