NSUPPORTED: stdio-common/tst-printf-format-p-ldouble-f
UNSUPPORTED: stdio-common/tst-printf-format-p-ldouble-f-mem
UNSUPPORTED: stdio-common/tst-printf-format-p-ldouble-g
UNSUPPORTED: stdio-common/tst-printf-format-p-ldouble-g-mem
UNSUPPORTED: stdio-common/tst-printf-format-p-llong
UNSUPPORTED: stdio-common/tst-printf-format-p-llong-mem
UNSUPPORTED: stdio-common/tst-printf-format-p-long
UNSUPPORTED: stdio-common/tst-printf-format-p-long-mem
UNSUPPORTED: stdio-common/tst-printf-format-p-ullong
UNSUPPORTED: stdio-common/tst-printf-format-p-ullong-mem
UNSUPPORTED: stdio-common/tst-printf-format-p-ulong
UNSUPPORTED: stdio-common/tst-printf-format-p-ulong-mem
UNSUPPORTED: stdio-common/tst-printf-format-s-double-E
UNSUPPORTED: stdio-common/tst-printf-format-s-double-E-mem
UNSUPPORTED: stdio-common/tst-printf-format-s-double-F
UNSUPPORTED: stdio-common/tst-printf-format-s-double-F-mem
UNSUPPORTED: stdio-common/tst-printf-format-s-double-G
UNSUPPORTED: stdio-common/tst-printf-format-s-double-G-mem
UNSUPPORTED: stdio-common/tst-printf-format-s-double-e
UNSUPPORTED: stdio-common/tst-printf-format-s-double-e-mem
UNSUPPORTED: stdio-common/tst-printf-format-s-double-f
UNSUPPORTED: stdio-common/tst-printf-format-s-double-f-mem
UNSUPPORTED: stdio-common/tst-printf-format-s-double-g
UNSUPPORTED: stdio-common/tst-printf-format-s-double-g-mem
UNSUPPORTED: stdio-common/tst-printf-format-s-ldouble-E
UNSUPPORTED: stdio-common/tst-printf-format-s-ldouble-E-mem
UNSUPPORTED: stdio-common/tst-printf-format-s-ldouble-F
UNSUPPORTED: stdio-common/tst-printf-format-s-ldouble-F-mem
UNSUPPORTED: stdio-common/tst-printf-format-s-ldouble-G
UNSUPPORTED: stdio-common/tst-printf-format-s-ldouble-G-mem
UNSUPPORTED: stdio-common/tst-printf-format-s-ldouble-e
UNSUPPORTED: stdio-common/tst-printf-format-s-ldouble-e-mem
